Lists, /wiki/Lists_of_mathematics_topics
Outline, /wiki/Outline_of_mathematics
Portal, /wiki/Portal:Mathematics
Categories, /wiki/List_of_mathematics_categories
v, /wiki/Template:MathTopicTOC
t, /wiki/Template_talk:MathTopicTOC
e, //en.wikipedia.org/w/index.php?title=Template:MathTopicTOC&action=edit
I, Bhāskara, /wiki/Bh%C4%81skara_I
Iacob, Caius, /wiki/Caius_Iacob
Ibe, Milagros D., /wiki/Milagros_D._Ibe
Ibidapo-Obe, Oyewusi, /wiki/Oyewusi_Ibidapo-Obe
ibn Ibrāhīm al-Fazārī, Muḥammad, /wiki/Mu%E1%B8%A5ammad_ibn_Ibr%C4%81h%C4%ABm_al-Faz%C4%81r%C4%AB
ibn Ibrāhīm al-Umawī, Yaʿīsh, /wiki/Ya%CA%BF%C4%ABsh_ibn_Ibr%C4%81h%C4%ABm_al-Umaw%C4%AB
Ifrah, Georges, /wiki/Georges_Ifrah
Igusa, Jun-Ichi, /wiki/Jun-Ichi_Igusa
Ihaka, Ross, /wiki/Ross_Ihaka
Ihara, Yasutaka, /wiki/Yasutaka_Ihara
II, Aryabhata, /wiki/Aryabhata_II
II, Bhāskara, /wiki/Bh%C4%81skara_II
II, Jai Singh, /wiki/Jai_Singh_II
II, James Waddell Alexander, /wiki/James_Waddell_Alexander_II
II, Pope Sylvester, /wiki/Pope_Sylvester_II
II, William Minicozzi, /wiki/William_Minicozzi_II
III, Berrien Moore, /wiki/Berrien_Moore_III
III, Ernest S. Croot, /wiki/Ernest_S._Croot_III
III, Hugh Everett, /wiki/Hugh_Everett_III
Iitaka, Shigeru, /wiki/Shigeru_Iitaka
Ikeda, Masatoshi Gündüz, /wiki/Masatoshi_G%C3%BCnd%C3%BCz_Ikeda
Ikehara, Shikao, /wiki/Shikao_Ikehara
Illusie, Luc, /wiki/Luc_Illusie
Ilolov, Mamadsho, /wiki/Mamadsho_Ilolov
Imafidon, Anne-Marie, /wiki/Anne-Marie_Imafidon
Imai, Hideki, /wiki/Hideki_Imai
Iman, Ronald L., /wiki/Ronald_L._Iman
Imrich, Wilfried, /wiki/Wilfried_Imrich
Inaudi, Jacques, /wiki/Jacques_Inaudi
Ince, Edward Lindsay, /wiki/Edward_Lindsay_Ince
Ingham, Albert, /wiki/Albert_Ingham
Ingleton, Aubrey William, /wiki/Aubrey_William_Ingleton
Inman, James, /wiki/James_Inman
Inselberg, Alfred, /wiki/Alfred_Inselberg
instructor, C. L. E. Moore, /wiki/C._L._E._Moore_instructor
Insua, David Ríos, /wiki/David_R%C3%ADos_Insua
Inzinger, Rudolf, /wiki/Rudolf_Inzinger
Ioana, Adrian, /wiki/Adrian_Ioana
Ion, Patrick, /wiki/Patrick_Ion
Ionescu, Nae, /wiki/Nae_Ionescu
Ipsen, Ilse, /wiki/Ilse_Ipsen
Iranshahri, /wiki/Iranshahri
Iribarren, Gonzalo Pérez, /wiki/Gonzalo_P%C3%A9rez_Iribarren
Irons, Bruce, /wiki/Bruce_Irons_(engineer)
Irwin, Joseph Oscar, /wiki/Joseph_Oscar_Irwin
Isaac, Earl, /wiki/Earl_Isaac
Isaacs, Martin, /wiki/Martin_Isaacs
Isaacs, Rufus, /wiki/Rufus_Isaacs_(game_theorist)
Isakhanli, Hamlet, /wiki/Hamlet_Isakhanli
Isakov, Victor, /wiki/Victor_Isakov
Isbell, John R., /wiki/John_R._Isbell
Isenkrahe, Caspar, /wiki/Caspar_Isenkrahe
Iserles, Arieh, /wiki/Arieh_Iserles
Al-Isfahani, /wiki/Al-Isfahani
Al-Isfizari, /wiki/Al-Isfizari
Isham, Valerie, /wiki/Valerie_Isham
ibn Ishaq, Hunayn, /wiki/Hunayn_ibn_Ishaq
Ishikawa, Kaoru, /wiki/Kaoru_Ishikawa
science in medieval Islam, Hindu and Buddhist contribution to, /wiki/Hindu_and_Buddhist_contribution_to_science_in_medieval_Islam
Islam, Jamal Nazrul, /wiki/Jamal_Nazrul_Islam
Ismail, Mourad, /wiki/Mourad_Ismail
Isserlis, Leon, /wiki/Leon_Isserlis
Itô, Kiyosi, /wiki/Kiyosi_It%C3%B4
Itō, Shuntarō, /wiki/Shuntar%C5%8D_It%C5%8D
Iusem, Alfredo Noel, /wiki/Alfredo_Noel_Iusem
Ivakhnenko, Alexey Grigorevich, /wiki/Alexey_Grigorevich_Ivakhnenko
Ivanov, Ivan, /wiki/Ivan_Ivanov_(mathematician)
Ivanov, Lyubomir, /wiki/Lyubomir_Ivanov_(explorer)
Ivanov, Nikolai V., /wiki/Nikolai_V._Ivanov
Iversen, Felix, /wiki/Felix_Iversen
Ivory, James, /wiki/James_Ivory_(mathematician)
Ivrii, Victor, /wiki/Victor_Ivrii
Iwahori, Nagayoshi, /wiki/Nagayoshi_Iwahori
Iwaniec, Henryk, /wiki/Henryk_Iwaniec
Iwaniec, Tadeusz, /wiki/Tadeusz_Iwaniec
Iwasawa, Kenkichi, /wiki/Kenkichi_Iwasawa
Iyanaga, Shokichi, /wiki/Shokichi_Iyanaga
Iyengar, C. N. S., /wiki/C._N._S._Iyengar
Iyengar, Vanaja, /wiki/Vanaja_Iyengar
Izsak, Imre, /wiki/Imre_Izsak
Lists, /wiki/Lists_of_mathematics_topics
Outline, /wiki/Outline_of_mathematics
Portal, /wiki/Portal:Mathematics
Categories, /wiki/List_of_mathematics_categories
v, /wiki/Template:MathTopicTOC
t, /wiki/Template_talk:MathTopicTOC
e, //en.wikipedia.org/w/index.php?title=Template:MathTopicTOC&action=edit
Väänänen, Jouko, /wiki/Jouko_V%C3%A4%C3%A4n%C3%A4nen
Vacca, Giovanni, /wiki/Giovanni_Vacca_(mathematician)
Vaerman, Jan, /wiki/Jan_Vaerman
Vahlen, Theodor, /wiki/Theodor_Vahlen
Vaidyanathaswamy, Ramaswamy S., /wiki/Ramaswamy_S._Vaidyanathaswamy
Vainberg, Boris Rufimovich, /wiki/Boris_Rufimovich_Vainberg
Vajda, Steven, /wiki/Steven_Vajda
Vakil, Ravi, /wiki/Ravi_Vakil
du Val, Patrick, /wiki/Patrick_du_Val
Vâlcovici, Victor, /wiki/Victor_V%C3%A2lcovici
Valentiner, Herman, /wiki/Herman_Valentiner
de Valera, Éamon, /wiki/%C3%89amon_de_Valera
Valerio, Luca, /wiki/Luca_Valerio
Valiron, Georges, /wiki/Georges_Valiron
Valk, Rüdiger, /wiki/R%C3%BCdiger_Valk
Valla, Giorgio, /wiki/Giorgio_Valla
de la Vallée-Poussin, Charles Jean, /wiki/Charles_Jean_de_la_Vall%C3%A9e-Poussin
Vallée, Brigitte, /wiki/Brigitte_Vall%C3%A9e
Vallée, Jacques, /wiki/Jacques_Vall%C3%A9e
Vallée, Robert, /wiki/Robert_Vall%C3%A9e
Vályi, Gyula, /wiki/Gyula_V%C3%A1lyi
Vanden-Eijnden, Eric, /wiki/Eric_Vanden-Eijnden
Vanderbei, Robert, /wiki/Robert_Vanderbei
Vandermonde, Alexandre-Théophile, /wiki/Alexandre-Th%C3%A9ophile_Vandermonde
Vandervelde, Sam, /wiki/Sam_Vandervelde
Vandiver, Harry, /wiki/Harry_Vandiver
Vanneste, Jacques, /wiki/Jacques_Vanneste
Vapnik, Vladimir, /wiki/Vladimir_Vapnik
Varadarajan, Veeravalli S., /wiki/Veeravalli_S._Varadarajan
Varadhan, S. R. Srinivasa, /wiki/S._R._Srinivasa_Varadhan
Varāhamihira, /wiki/Var%C4%81hamihira
Vararuchi, /wiki/Vararuchi
Varchenko, Alexander, /wiki/Alexander_Varchenko
Varga, Richard S., /wiki/Richard_S._Varga
Variar, Sankara, /wiki/Sankara_Variar
Varićak, Vladimir, /wiki/Vladimir_Vari%C4%87ak
Varignon, Pierre, /wiki/Pierre_Varignon
Varman, Sankara, /wiki/Sankara_Varman
Varopoulos, Nicholas, /wiki/Nicholas_Varopoulos
Varshamov, Rom, /wiki/Rom_Varshamov
Vartak, Manohar, /wiki/Manohar_Vartak
Vaschenko-Zakharchenko, Mikhail, /wiki/Mikhail_Vaschenko-Zakharchenko
Vaseršteĭn, Leonid, /wiki/Leonid_Vaser%C5%A1te%C4%ADn
Vašíček, Oldřich, /wiki/Old%C5%99ich_Va%C5%A1%C3%AD%C4%8Dek
Vasiliev, Nicolai A., /wiki/Nicolai_A._Vasiliev
Vasilopoulos, Balanos, /wiki/Balanos_Vasilopoulos
Vasseur, Alexis, /wiki/Alexis_Vasseur
Vassiliev, Victor Anatolyevich, /wiki/Victor_Anatolyevich_Vassiliev
Vasu, Srisa Chandra, /wiki/Srisa_Chandra_Vasu
Vaṭeśvara, /wiki/Va%E1%B9%ADe%C5%9Bvara
Vaughan, Dorothy, /wiki/Dorothy_Vaughan
Vaught, Robert Lawson, /wiki/Robert_Lawson_Vaught
de Vausenville, Guillaume le Roberger, /wiki/Guillaume_le_Roberger_de_Vausenville
Vavrinec Benedikt of Nedožery, /wiki/Vavrinec_Benedikt_of_Nedo%C5%BEery
Vazirani, Umesh, /wiki/Umesh_Vazirani
Vazirani, Vijay, /wiki/Vijay_Vazirani
Vázsonyi, Andrew, /wiki/Andrew_V%C3%A1zsonyi
Veblen, Oswald, /wiki/Oswald_Veblen
Veech, William A., /wiki/William_A._Veech
Vega, Jurij, /wiki/Jurij_Vega
Vekua, Ilia, /wiki/Ilia_Vekua
Velez-Rodriguez, Argelia, /wiki/Argelia_Velez-Rodriguez
Velho, Luiz, /wiki/Luiz_Velho
Velikanova, Tatyana, /wiki/Tatyana_Velikanova
Velsius, Justus, /wiki/Justus_Velsius
Venable, Charles S., /wiki/Charles_S._Venable
Venapally, Suresh, /wiki/Suresh_Venapally
Venkataraman, C. S., /wiki/C._S._Venkataraman
Venkataramana, T. N., /wiki/T._N._Venkataramana
Venkatesh, Akshay, /wiki/Akshay_Venkatesh
Venn, John, /wiki/John_Venn
Verbitsky, Misha, /wiki/Misha_Verbitsky
Verblunsky, Samuel, /wiki/Samuel_Verblunsky
Verdier, Jean-Louis, /wiki/Jean-Louis_Verdier
de Verdière, Yves Colin, /wiki/Yves_Colin_de_Verdi%C3%A8re
Verea, Ramón, /wiki/Ram%C3%B3n_Verea
Vergilius of Salzburg, /wiki/Vergilius_of_Salzburg
Vergnas, Michel Las, /wiki/Michel_Las_Vergnas
Vergnaud, Gérard, /wiki/G%C3%A9rard_Vergnaud
Vergne, Michèle, /wiki/Mich%C3%A8le_Vergne
Verhoeff, Jacobus, /wiki/Jacobus_Verhoeff
Verhulst, Pierre François, /wiki/Pierre_Fran%C3%A7ois_Verhulst
Verma, Daya-Nand, /wiki/Daya-Nand_Verma
Verma, Kaushal Kumar, /wiki/Kaushal_Kumar_Verma
Vermeil, Hermann, /wiki/Hermann_Vermeil
Vernier, Pierre, /wiki/Pierre_Vernier
Véron, Pierre-Antoine, /wiki/Pierre-Antoine_V%C3%A9ron
Veronese, Giuseppe, /wiki/Giuseppe_Veronese
Le Verrier, Urbain, /wiki/Urbain_Le_Verrier
Vershik, Anatoly, /wiki/Anatoly_Vershik
Vesentini, Edoardo, /wiki/Edoardo_Vesentini
Vessiot, Ernest, /wiki/Ernest_Vessiot
Vetulani, Zygmunt, /wiki/Zygmunt_Vetulani_(mathematician)
Viana, Marcelo, /wiki/Marcelo_Viana
Viazovska, Maryna, /wiki/Maryna_Viazovska
Vicsek, Tamás, /wiki/Tam%C3%A1s_Vicsek
Victor Twersky, /wiki/Twersky#Twersky
Vidav, Ivan, /wiki/Ivan_Vidav
Viehweg, Eckart, /wiki/Eckart_Viehweg
Viera, Yusnier, /wiki/Yusnier_Viera
Viète, François, /wiki/Fran%C3%A7ois_Vi%C3%A8te
Vietoris, Leopold, /wiki/Leopold_Vietoris
Vigier, Jean-Pierre, /wiki/Jean-Pierre_Vigier
Vignéras, Marie-France, /wiki/Marie-France_Vign%C3%A9ras
Vijayanandi, /wiki/Vijayanandi
Vijayaraghavan, Tirukkannapuram, /wiki/Tirukkannapuram_Vijayaraghavan
Vilant, Nicolas, /wiki/Nicolas_Vilant
Villalpando, Juan Bautista, /wiki/Juan_Bautista_Villalpando
Villani, Cédric, /wiki/C%C3%A9dric_Villani
Villarceau, Yvon, /wiki/Yvon_Villarceau
Villat, Henri, /wiki/Henri_Villat
Vinberg, Ernest, /wiki/Ernest_Vinberg
Vince, Samuel, /wiki/Samuel_Vince
Vincze, István, /wiki/Istv%C3%A1n_Vincze_(mathematician)
Vinet, Luc, /wiki/Luc_Vinet
Vinge, Vernor, /wiki/Vernor_Vinge
Vingron, Martin, /wiki/Martin_Vingron
Vinogradov, Askold Ivanovich, /wiki/Askold_Ivanovich_Vinogradov
Vinogradov, Ivan Matveyevich, /wiki/Ivan_Matveyevich_Vinogradov
Virág, Bálint, /wiki/B%C3%A1lint_Vir%C3%A1g
Virahanka, /wiki/Virahanka
Virasena, /wiki/Virasena
Viro, Oleg, /wiki/Oleg_Viro
Viscardi, Michael, /wiki/Michael_Viscardi
Vishik, Mark, /wiki/Mark_Vishik
Vishne, Uzi, /wiki/Uzi_Vishne
Visser, Matt, /wiki/Matt_Visser
Vitale, Giordano, /wiki/Giordano_Vitale
Vitali, Giuseppe, /wiki/Giuseppe_Vitali
Vitello, /wiki/Vitello
Vitushkin, Anatoli Georgievich, /wiki/Anatoli_Georgievich_Vitushkin
Vivanti, Giulio, /wiki/Giulio_Vivanti
Vivian, Roxana, /wiki/Roxana_Vivian
Viviani, Vincenzo, /wiki/Vincenzo_Viviani
Vizing, Vadim G., /wiki/Vadim_G._Vizing
Vlacq, Adriaan, /wiki/Adriaan_Vlacq
Vladimirov, Vasily, /wiki/Vasily_Vladimirov
Vleck, Edward Burr Van, /wiki/Edward_Burr_Van_Vleck
Vleck, John Hasbrouck Van, /wiki/John_Hasbrouck_Van_Vleck
Vleck, John Monroe Van, /wiki/John_Monroe_Van_Vleck
Vliet, Carolyne Van, /wiki/Carolyne_Van_Vliet
Voevodin, Vladimir, /wiki/Vladimir_Voevodin
Voevodsky, Vladimir, /wiki/Vladimir_Voevodsky
Vogan, David, /wiki/David_Vogan
Vogelius, Michael, /wiki/Michael_Vogelius
Vogtmann, Karen, /wiki/Karen_Vogtmann
Voiculescu, Dan-Virgil, /wiki/Dan-Virgil_Voiculescu
Voisin, Claire, /wiki/Claire_Voisin
Vojta, Paul, /wiki/Paul_Vojta
Volberg, Alexander, /wiki/Alexander_Volberg
de Volder, Burchard, /wiki/Burchard_de_Volder
Voloch, José Felipe, /wiki/Jos%C3%A9_Felipe_Voloch
Volpert, Aizik, /wiki/Aizik_Volpert
Volterra, Vito, /wiki/Vito_Volterra
Voorhoeve, Marc, /wiki/Marc_Voorhoeve
Vopěnka, Petr, /wiki/Petr_Vop%C4%9Bnka
Vorobyov, Nikolai Nikolayevich, /wiki/Nikolai_Nikolayevich_Vorobyov_(mathematician)
Voronoy, Georgy, /wiki/Georgy_Voronoy
Vorovich, Iosif, /wiki/Iosif_Vorovich
van der Vorst, Henk, /wiki/Henk_van_der_Vorst
Vostokov, Sergei, /wiki/Sergei_Vostokov
Vragov, Vladimir, /wiki/Vladimir_Vragov
Vrânceanu, Gheorghe, /wiki/Gheorghe_Vr%C3%A2nceanu
Vranić, Vladimir, /wiki/Vladimir_Vrani%C4%87
Vreede, Elisabeth, /wiki/Elisabeth_Vreede
de Vries, Gustav, /wiki/Gustav_de_Vries
Vu, Van H., /wiki/Van_H._Vu
Vucāns, Jānis, /wiki/J%C4%81nis_Vuc%C4%81ns
Vuorinen, Matti, /wiki/Matti_Vuorinen
Vydra, Stanislav, /wiki/Stanislav_Vydra
Vyssotsky, Victor A., /wiki/Victor_A._Vyssotsky
Lists, /wiki/Lists_of_mathematics_topics
Outline, /wiki/Outline_of_mathematics
Portal, /wiki/Portal:Mathematics
Categories, /wiki/List_of_mathematics_categories
v, /wiki/Template:MathTopicTOC
t, /wiki/Template_talk:MathTopicTOC
e, //en.wikipedia.org/w/index.php?title=Template:MathTopicTOC&action=edit
Ya. Vilenkin, Naum, /wiki/Naum_Ya._Vilenkin
Yablonsky, Grigoriy, /wiki/Grigoriy_Yablonsky
Yablonsky, Sergey, /wiki/Sergey_Yablonsky
Yadrenko, Myhailo, /wiki/Myhailo_Yadrenko
Yaglom, Isaak, /wiki/Isaak_Yaglom
Yajnavalkya, /wiki/Yajnavalkya
D'yakonov, Evgenii Georgievich, /wiki/Evgenii_Georgievich_D%27yakonov
Yakubovich, Vladimir Andreevich, /wiki/Vladimir_Andreevich_Yakubovich
Yamabe, Hidehiko, /wiki/Hidehiko_Yamabe
Yamamoto, Yutaka, /wiki/Yutaka_Yamamoto_(mathematician)
Yamashita, Michinori, /wiki/Michinori_Yamashita
Yanenko, Nikolai Nikolaevich, /wiki/Nikolai_Nikolaevich_Yanenko
Yang, Chung Tao, /wiki/Chung_Tao_Yang
Yang, Jack, /wiki/Jack_Yang
Yang, Paul C., /wiki/Paul_C._Yang
Yang, Xin-She, /wiki/Xin-She_Yang
Yankov, Vadim, /wiki/Vadim_Yankov
Yano, Kentaro, /wiki/Kentaro_Yano_(mathematician)
Yanovskaya, Sofya, /wiki/Sofya_Yanovskaya
Yao, Frances, /wiki/Frances_Yao
Yaqubov, Mammad, /wiki/Mammad_Yaqubov
al-Yasamin, Ibn, /wiki/Ibn_al-Yasamin
Yāska, /wiki/Y%C4%81ska
Yates, Frank, /wiki/Frank_Yates
Yates, Samuel, /wiki/Samuel_Yates
Yativṛṣabha, /wiki/Yativ%E1%B9%9B%E1%B9%A3abha
Yau, Horng-Tzer, /wiki/Horng-Tzer_Yau
Yau, Shing-Tung, /wiki/Shing-Tung_Yau
Yazdi, Muhammad Baqir, /wiki/Muhammad_Baqir_Yazdi
de Yciar, Juan, /wiki/Juan_de_Yciar
Ye, Li, /wiki/Li_Ye_(mathematician)
Ye, Tian, /wiki/Tian_Ye_(mathematician)
Ye, Yinyu, /wiki/Yinyu_Ye
Yefremovich, Vadim, /wiki/Vadim_Yefremovich
Yekutieli, Amnon, /wiki/Amnon_Yekutieli
Yeldham, Florence, /wiki/Florence_Yeldham
Yeneng, Sun, /wiki/Sun_Yeneng
Yershov, Yury, /wiki/Yury_Yershov
Yıldırım, Cem, /wiki/Cem_Y%C4%B1ld%C4%B1r%C4%B1m
Ying, Lexing, /wiki/Lexing_Ying
Yingming, Liu, /wiki/Liu_Yingming
ben Yitzhaq, Elazar ben Tsedaka, /wiki/Elazar_ben_Tsedaka_ben_Yitzhaq
Yoccoz, Jean-Christophe, /wiki/Jean-Christophe_Yoccoz
Yoneda, Nobuo, /wiki/Nobuo_Yoneda
Yoneyama, Kunizo, /wiki/Kunizo_Yoneyama
Yong, Cai, /wiki/Cai_Yong
Yong, Lam Lay, /wiki/Lam_Lay_Yong
Yor, Marc, /wiki/Marc_Yor
Yoriyuki, Arima, /wiki/Arima_Yoriyuki
Yorke, James A., /wiki/James_A._Yorke
Yosida, Kōsaku, /wiki/K%C5%8Dsaku_Yosida
Youden, William J., /wiki/William_J._Youden
Young, Alfred, /wiki/Alfred_Young
Young, Allyn Abbott, /wiki/Allyn_Abbott_Young
Young, Arthur, /wiki/Arthur_Young_(writer)
Young, Grace Chisholm, /wiki/Grace_Chisholm_Young
Young, John Radford, /wiki/John_Radford_Young
Young, John Wesley, /wiki/John_Wesley_Young
Young, Jr., David M., /wiki/David_M._Young,_Jr.
Young, Lai-Sang, /wiki/Lai-Sang_Young
Young, Laurence Chisholm, /wiki/Laurence_Chisholm_Young
Young, Matthew, /wiki/Matthew_Young_(bishop)
Young, William Henry, /wiki/William_Henry_Young
Youngs, John William Theodore, /wiki/John_William_Theodore_Youngs
Yousuf, Muhammad, /wiki/Muhammad_Yousuf
Yu, Bin, /wiki/Bin_Yu
Yu, Guoliang, /wiki/Guoliang_Yu
Yu, Shih-Hsien, /wiki/Shih-Hsien_Yu
Yuan, Ruan, /wiki/Ruan_Yuan
Yuan, Wang, /wiki/Wang_Yuan_(mathematician)
Yuan, Xinyi, /wiki/Xinyi_Yuan
Yue, Xu, /wiki/Xu_Yue
Yui, Noriko, /wiki/Noriko_Yui
Yule, Udny, /wiki/Udny_Yule
Yulmukhametov, Rinad, /wiki/Rinad_Yulmukhametov
ibn Yumn, Nazif, /wiki/Nazif_ibn_Yumn
Yun, Louis Chen Hsiao, /wiki/Louis_Chen_Hsiao_Yun
Yun, Zhiwei, /wiki/Zhiwei_Yun
Yunus, Ibn, /wiki/Ibn_Yunus
Yushkevich, Adolph P., /wiki/Adolph_P._Yushkevich
Yusof, Sufiah, /wiki/Sufiah_Yusof
ibn Yūsuf ibn Maṭar, Al-Ḥajjāj, /wiki/Al-%E1%B8%A4ajj%C4%81j_ibn_Y%C5%ABsuf_ibn_Ma%E1%B9%ADar
ibn Yusuf, Ahmad, /wiki/Ahmad_ibn_Yusuf
